"","...1","...2","Lake.ID","Year","Lake.x","Trt","YrsTrt","PrevAUGSecchi","Snow","JUNPcri","County","Lake.area.acre","Proportion.littoral","Max.depth","Acres_Chem","litt.ac","perc.lit.chem","Ice_off","Snow.sc","PrevAUGSecchi.sc","Ice_off.sc","lake_year","cytrt","yutrt","foc_clp","obs","nsamp"
"139",142,142,"62000200",2020,"Bald Eagle","1",4,1.14,11.938,NA,NA,589.063,0.5613,37,72.6,589.06,12.32472074,97.51186535,0.391993343,-0.0229537709998639,0.010349706,2020,3,0,NA,139,170
"140",137,137,"62000200",2021,"Bald Eagle","1",5,1.19,11.176,NA,NA,589.063,0.5613,37,86.89,589.06,14.75061963,86.05166454,0.257613995,0.0288047322351231,-0.778869435,2021,4,0,NA,140,166
"141",139,139,"62000200",2022,"Bald Eagle","1",7,1.34,9.652,NA,NA,589.063,0.5613,37,26.47,589.06,4.493599973,110.3256843,-0.011144699,0.184080241940084,0.892787225,2022,5,0,NA,141,144
"142",138,138,"62000200",2023,"Bald Eagle","1",7,1.21,19.558,NA,NA,589.063,0.5613,37,68.93,589.06,11.70169422,110.5145214,1.735786813,0.0495081335291179,0.905791696,2023,6,0,NA,142,167
"143",143,143,"62000600",2024,"Kohlman","1",5,0.6,1.524,0.29,NA,82.899,1,11.60000038,12.4,82.9,14.95778046,67.08913793,-1.444524401,-0.581945605937722,-2.084744367,2024,4,0,0.29,143,112
"144",144,144,"62000600",2024,"Kohlman","1",5,0.6,1.524,0.29,NA,82.899,1,11.60000038,12.4,82.9,14.95778046,67.08913793,-1.444524401,-0.581945605937722,-2.084744367,2024,4,0,0.29,144,112
"145",145,145,"62000600",2024,"Kohlman","1",5,0.6,1.524,0.29,NA,82.899,1,11.60000038,12.4,82.9,14.95778046,67.08913793,-1.444524401,-0.581945605937722,-2.084744367,2024,4,0,0.29,145,112
"146",146,146,"62000600",2024,"Kohlman","1",5,0.6,1.524,0.29,NA,82.899,1,11.60000038,12.4,82.9,14.95778046,67.08913793,-1.444524401,-0.581945605937722,-2.084744367,2024,4,0,0.29,146,112
"147",147,147,"62000600",2025,"Kohlman","1",6,0.96,3.048,0.27,NA,82.899,1,11.60000038,15.58,82.9,18.79372738,87.50826959,-1.175765706,-0.209284382645817,-0.67855875,2025,5,0,0.27,147,113
"148",148,148,"62000600",2025,"Kohlman","1",6,0.96,3.048,0.27,NA,82.899,1,11.60000038,15.58,82.9,18.79372738,87.50826959,-1.175765706,-0.209284382645817,-0.67855875,2025,5,0,0.27,148,113
"149",149,149,"62005500",2024,"Como","1",7,0.78,1.524,0.55,NA,65.645,0.9775,16,71.3,65.65,108.6062452,66.6033456,-1.444524401,-0.39561499429177,-2.118198982,2024,0,2,0.55,149,60
"150",150,150,"62005500",2024,"Como","1",7,0.78,1.524,0.55,NA,65.645,0.9775,16,71.3,65.65,108.6062452,66.6033456,-1.444524401,-0.39561499429177,-2.118198982,2024,0,2,0.55,150,60
"151",151,151,"62005500",2024,"Como","1",7,0.78,1.524,0.55,NA,65.645,0.9775,16,71.3,65.65,108.6062452,66.6033456,-1.444524401,-0.39561499429177,-2.118198982,2024,0,2,0.55,151,60
"152",152,152,"62005500",2025,"Como","1",8,0.6,3.048,0.25,NA,65.645,0.9775,16,71.3,65.65,108.6062452,87.02247726,-1.175765706,-0.581945605937722,-0.712013365,2025,1,0,0.25,152,60
"153",153,153,"62005500",2025,"Como","1",8,0.6,3.048,0.25,NA,65.645,0.9775,16,71.3,65.65,108.6062452,87.02247726,-1.175765706,-0.581945605937722,-0.712013365,2025,1,0,0.25,153,60
"154",154,154,"62005500",2025,"Como","1",8,0.6,3.048,0.25,NA,65.645,0.9775,16,71.3,65.65,108.6062452,87.02247726,-1.175765706,-0.581945605937722,-0.712013365,2025,1,0,0.25,154,60
"155",156,156,"70002200",2019,"Cleary","1",1,0.55,13.97,0.84,NA,144.743,0.9902,9,145,144.74,100.1796324,99.31458848,0.750338268,-0.633704109172709,0.134496187,2019,0,NA,0.84,155,165
"156",157,157,"70002200",2019,"Cleary","1",1,0.55,13.97,0.84,NA,144.743,0.9902,9,145,144.74,100.1796324,99.31458848,0.750338268,-0.633704109172709,0.134496187,2019,0,NA,0.84,156,165
"157",158,158,"70002200",2019,"Cleary","1",1,0.55,13.97,0.84,NA,144.743,0.9902,9,145,144.74,100.1796324,99.31458848,0.750338268,-0.633704109172709,0.134496187,2019,0,NA,0.84,157,165
"158",159,159,"70002200",2020,"Cleary","1",2,1.55,11.938,0.41,NA,144.743,0.9902,9,145,144.74,100.1796324,93.15863169,0.391993343,0.401465955527029,-0.289440445,2020,1,0,0.41,158,164
"159",155,155,"70002200",2022,"Cleary","1",4,0.63,9.652,0.07,NA,144.743,0.9902,9,145,144.74,100.1796324,105.9724506,-0.011144699,-0.55089050399673,0.592997074,2022,3,0,0.07,159,158
"160",160,160,"70007200",2019,"Upper Prior","1",1,0.74,13.97,NA,NA,310.512,0.8132,40.29999924,14.3,310.51,4.605326721,101.435135,0.750338268,-0.437021796879759,0.280529919,2019,0,NA,NA,160,76
"161",161,161,"70007200",2020,"Upper Prior","1",2,1.1,11.938,NA,NA,310.512,0.8132,40.29999924,17.7,310.51,5.700299507,95.2791782,0.391993343,-0.0643605735878532,-0.143406713,2020,1,0,NA,161,86
"162",162,162,"71001300",2017,"Orono","1",1,NA,3.302,0.32,NA,246.642,0.9907,17,4.3,246.64,1.743431722,82.26014926,-1.130972591,NA,-1.03997624,2017,0,NA,0.32,162,204
"163",163,163,"71001300",2017,"Orono","1",1,NA,3.302,0.32,NA,246.642,0.9907,17,4.3,246.64,1.743431722,82.26014926,-1.130972591,NA,-1.03997624,2017,0,NA,0.32,163,204
"164",164,164,"71001300",2018,"Orono","1",2,NA,7.874,0.17,NA,246.642,0.9907,17,21.91,246.64,8.883392799,114.3429691,-0.324696508,NA,1.169441894,2018,1,0,0.17,164,204
"165",165,165,"71001300",2018,"Orono","1",2,NA,7.874,0.17,NA,246.642,0.9907,17,21.91,246.64,8.883392799,114.3429691,-0.324696508,NA,1.169441894,2018,1,0,0.17,165,204
"166",166,166,"71001300",2019,"Orono","1",3,1.1,13.97,NA,NA,246.642,0.9907,17,9.4,246.64,3.811222835,102.4761619,0.750338268,-0.0643605735878532,0.352221364,2019,2,0,NA,166,204
"167",167,167,"71001300",2020,"Orono","1",4,1.8,11.938,NA,NA,246.642,0.9907,17,25.5,246.64,10.33895556,96.3202051,0.391993343,0.660258471701964,-0.071715268,2020,3,0,NA,167,204
"168",168,168,"71001300",2021,"Orono","0",4,0.6,11.176,0.22,NA,246.642,0.9907,17,NA,246.64,NA,84.86000429,0.257613995,-0.581945605937722,-0.860934408,2021,4,0,0.22,168,204
"169",169,169,"71001300",2021,"Orono","0",4,0.6,11.176,0.22,NA,246.642,0.9907,17,NA,246.64,NA,84.86000429,0.257613995,-0.581945605937722,-0.860934408,2021,4,0,0.22,169,204
"170",170,170,"71001300",2021,"Orono","0",4,0.6,11.176,0.22,NA,246.642,0.9907,17,NA,246.64,NA,84.86000429,0.257613995,-0.581945605937722,-0.860934408,2021,4,0,0.22,170,204
"171",171,171,"71001300",2022,"Orono","1",5,0.5,9.652,NA,NA,246.642,0.9907,17,30.87,246.64,12.51621797,109.134024,-0.011144699,-0.685462612407696,0.810722251,2022,0,1,NA,171,204
"172",172,172,"71001300",2022,"Orono","1",6,0.5,9.652,NA,NA,246.642,0.9907,17,30.87,246.64,12.51621797,109.134024,-0.011144699,-0.685462612407696,0.810722251,2022,0,1,NA,172,204
"173",173,173,"71001300",2023,"Orono","1",6,0.6,19.558,NA,NA,246.642,0.9907,17,30.87,246.64,12.51621797,109.3228611,1.735786813,-0.581945605937722,0.823726722,2023,1,0,NA,173,204
"174",174,174,"71001300",2023,"Orono","1",6,0.6,19.558,NA,NA,246.642,0.9907,17,30.87,246.64,12.51621797,109.3228611,1.735786813,-0.581945605937722,0.823726722,2023,1,0,NA,174,204
"175",175,175,"71001300",2024,"Orono","1",7,NA,1.524,NA,NA,246.642,0.9907,17,30.87,246.64,12.51621797,69.27232785,-1.444524401,NA,-1.934396629,2024,2,0,NA,175,204
"176",176,176,"71001300",2025,"Orono","1",8,NA,3.048,NA,NA,246.642,0.9907,17,31,246.64,12.56892637,89.69145951,-1.175765706,NA,-0.528211012,2025,3,0,NA,176,204
"177",177,177,"71014700",2018,"Rush","1",2,NA,7.874,NA,NA,160.818,1,10,10.8,160.82,6.715582639,115.6944635,-0.324696508,NA,1.262514017,2018,1,0,NA,177,112
"178",178,178,"73001400",2017,"Marie","1",1,1.18,3.302,NA,NA,124.967,0.8513,30,14.8,124.97,11.84284228,84.67768708,-1.130972591,0.0184530315881257,-0.873489881,2017,0,NA,NA,178,120
"179",179,179,"73001400",2018,"Marie","1",2,0.9,7.874,NA,NA,124.967,0.8513,30,12.84,124.97,10.27446587,116.7605069,-0.324696508,-0.271394586527801,1.335928254,2018,1,0,NA,179,120
"180",180,180,"73008200",2020,"Schneider","1",2,2.44,11.938,NA,NA,25.135,0.462,55,1.7,25.14,6.76213206,100.4266941,0.391993343,1.3227673131098,0.211082542,2020,0,2,NA,180,25
"181",181,181,"73008200",2022,"Schneider","0",2,NA,9.652,0.5,NA,25.135,0.462,55,NA,25.14,NA,113.240513,-0.011144699,NA,1.093520061,2022,0,1,0.5,181,8
"182",182,182,"73008200",2023,"Schneider","0",2,NA,19.558,NA,NA,25.135,0.462,55,NA,25.14,NA,113.4293501,1.735786813,NA,1.106524532,2023,0,2,NA,182,37
"183",183,183,"73008300",2020,"Great Northern","1",1,NA,11.938,NA,NA,185.346,0.9221,16.20000076,1.7,185.35,0.917183707,99.49144854,0.391993343,NA,0.146675847,2020,0,NA,NA,183,94
"184",184,184,"73008600",2020,"Knaus","1",1,0.84,11.938,NA,NA,209.7,0.9682,16.20000076,4,209.7,1.907486886,99.5428492,0.391993343,-0.333504790409785,0.150215608,2020,0,NA,NA,184,113
"185",185,185,"73008600",2022,"Knaus","1",3,NA,9.652,0.34,NA,209.7,0.9682,16.20000076,10.8,209.7,5.150214592,112.3566681,-0.011144699,NA,1.032653127,2022,2,0,0.34,185,83
"186",186,186,"73008600",2023,"Knaus","1",4,NA,19.558,NA,NA,209.7,0.9682,16.20000076,6,209.7,2.861230329,112.5455052,1.735786813,NA,1.045657598,2023,3,0,NA,186,211
"187",187,187,"73008700",2020,"Krays","1",1,0.82,11.938,NA,NA,86.938,0.9048,40.20000076,1.8,86.94,2.070393375,NA,0.391993343,-0.35420819170378,NA,2020,0,NA,NA,187,45
"188",188,188,"73008800",2020,"Bolfing","1",1,NA,11.938,NA,NA,67.37,0.6299,35,1,67.37,1.484340211,99.27960256,0.391993343,NA,0.132086843,2020,0,NA,NA,188,40
"189",189,189,"73008800",2022,"Bolfing","1",3,NA,9.652,0.22,NA,67.37,0.6299,35,0.3,67.37,0.445302063,112.0934215,-0.011144699,NA,1.014524363,2022,2,0,0.22,189,9
"190",190,190,"73008800",2023,"Bolfing","0",3,NA,19.558,NA,NA,67.37,0.6299,35,NA,67.37,NA,112.2822586,1.735786813,NA,1.027528833,2023,3,0,NA,190,65
"191",191,191,"73008900",2020,"Zumwalde","1",1,0.76,11.938,NA,NA,118.616,0.9816,21.29999924,1.7,118.62,1.433147867,NA,0.391993343,-0.416318395585764,NA,2020,0,NA,NA,191,60
"192",192,192,"73008900",2022,"Zumwalde","0",2,NA,9.652,0.86,NA,118.616,0.9816,21.29999924,NA,118.62,NA,NA,-0.011144699,NA,NA,2022,2,0,0.86,192,78
"193",193,193,"73013300",2020,"Cedar Island","0",1,NA,11.938,NA,NA,985.77,0.7659,NA,NA,755,NA,NA,0.391993343,NA,NA,2020,0,2,NA,193,378
"194",194,194,"73013300",2022,"Cedar Island","1",3,NA,9.652,0.26,NA,985.77,0.7659,NA,43.7,755,5.78807947,NA,-0.011144699,NA,NA,2022,1,0,0.26,194,384
"195",195,195,"73013300",2022,"Cedar Island","1",3,NA,9.652,0.26,NA,985.77,0.7659,NA,43.7,755,5.78807947,NA,-0.011144699,NA,NA,2022,1,0,0.26,195,384
"196",196,196,"73013900",2020,"Long","1",2,0.85,11.938,NA,NA,331.225,0.672,34,2,331.23,0.603810041,100.1538767,0.391993343,-0.323153089762788,0.192294678,2020,0,2,NA,196,163
"197",197,197,"73015700",2020,"Horseshoe","1",2,1.15,11.938,NA,NA,341.053,0.5437,57,5.4,341.05,1.583345551,100.4625085,0.391993343,-0.0126020703528665,0.213548942,2020,0,2,NA,197,169
"198",198,198,"73015700",2022,"Horseshoe","1",4,NA,9.652,0.35,NA,341.053,0.5437,57,3.9,341.05,1.143527342,113.2763274,-0.011144699,NA,1.095986462,2022,2,0,0.35,198,135
"199",199,199,"73015700",2022,"Horseshoe","1",4,NA,9.652,0.35,NA,341.053,0.5437,57,3.9,341.05,1.143527342,113.2763274,-0.011144699,NA,1.095986462,2022,2,0,0.35,199,135
"200",200,200,"73015700",2023,"Horseshoe","0",4,NA,19.558,NA,NA,341.053,0.5437,57,NA,341.05,NA,113.4651645,1.735786813,NA,1.108990932,2023,3,0,NA,200,649
"201",201,201,"82010100",2024,"DeMontreville","1",1,NA,1.524,0.02,NA,142.617,0.9081,24,12,142.62,8.413967186,68.09691909,-1.444524401,NA,-2.015342426,2024,0,NA,0.02,201,87
"202",202,202,"82010100",2025,"DeMontreville","1",2,1.8,3.048,0,NA,142.617,0.9081,24,21.2,142.62,14.86467536,88.51605075,-1.175765706,0.660258471701964,-0.609156809,2025,1,0,0,202,74
"203",203,203,"82010300",2025,"Olson","1",1,3.2,3.048,0,NA,87.384,1,14.5,6.6,87.38,7.553215839,87.8025972,-1.175765706,2.1094965622816,-0.658289561,2025,0,NA,0,203,77
"204",204,204,"82016200",2023,"Shields","1",5,NA,19.558,NA,NA,25.527,0.8644,25.89999962,3.07,25.53,12.02506855,NA,1.735786813,NA,NA,2023,4,0,NA,204,40
"205",205,205,"86002300",2017,"Beebe","1",1,0.88,3.302,NA,NA,179.487,0.5899,23.5,26.5,179.49,14.76405371,83.89081555,-1.130972591,-0.292097987821796,-0.927678641,2017,0,NA,NA,205,115
"206",206,206,"86002300",2022,"Beebe","1",6,NA,9.652,0.02,NA,179.487,0.5899,23.5,14.39,179.49,8.01715973,110.7646903,-0.011144699,NA,0.923019851,2022,5,0,0.02,206,91
"207",207,207,"86023400",2018,"Bass","1",2,3.69,7.874,NA,NA,95.961,0.449,34,3.1,95.96,3.230512714,117.158988,-0.324696508,2.61672989398447,1.363370089,2018,1,0,NA,207,86
"208",208,208,"86028200",2017,"Louisa","1",1,1.2,3.302,NA,NA,129.566,0.6673,44,13.85,129.57,10.68920275,84.20953346,-1.130972591,0.0391564328821205,-0.905729787,2017,0,NA,NA,208,120
"209",209,209,"86028200",2018,"Louisa","1",2,0.9,7.874,NA,NA,129.566,0.6673,44,15.69,129.57,12.10928456,116.2923533,-0.324696508,-0.271394586527801,1.303688348,2018,1,0,NA,209,118
