"","Lake.ID","Year","Lake.x","Trt","YrsTrt","PrevAUGSecchi","Snow","APRMAYPcri","JUNPcri","DIFF.4.6","County","Lake.area.acre","Proportion.littoral","Max.depth","Acres_Chem","litt.ac","perc.lit.chem","Ice_off"
"197","73015700",2020,"Horseshoe",1,2,1.15,4.7,NA,NA,NA,NA,341.053,0.5437,57,5.4,341.05,1.58334555050579,100.462508500983
"198","73015700",2022,"Horseshoe",1,4,NA,3.8,NA,0.35,NA,NA,341.053,0.5437,57,3.9,341.05,1.14352734203196,113.276327443005
"199","73015700",2022,"Horseshoe",1,4,NA,3.8,NA,0.35,NA,NA,341.053,0.5437,57,3.9,341.05,1.14352734203196,113.276327443005
"200","73015700",2023,"Horseshoe",0,4,NA,7.7,NA,NA,NA,NA,341.053,0.5437,57,NA,341.05,NA,113.465164528227
"201","82010100",2024,"DeMontreville",1,1,NA,0.6,NA,0.02,NA,NA,142.617,0.9081,24,12,142.62,8.41396718552798,68.0969190908517
"202","82010100",2025,"DeMontreville",1,2,1.8,1.2,NA,0,NA,NA,142.617,0.9081,24,21.2,142.62,14.8646753610994,88.5160507522188
"203","82010300",2025,"Olson",1,1,3.2,1.2,NA,0,NA,NA,87.384,1,14.5,6.6,87.38,7.55321583886473,87.8025972020257
"204","82016200",2023,"Shields",1,5,NA,7.7,0.55,NA,NA,NA,25.527,0.8644,25.89999962,3.07,25.53,12.0250685468077,NA
"205","86002300",2017,"Beebe",1,1,0.88,1.3,NA,NA,NA,NA,179.487,0.5899,23.5,26.5,179.49,14.7640537077274,83.8908155452296
"206","86002300",2022,"Beebe",1,6,NA,3.8,NA,0.02,NA,NA,179.487,0.5899,23.5,14.39,179.49,8.01715973034709,110.764690318938
"207","86023400",2018,"Bass",1,2,3.69,3.1,NA,NA,NA,NA,95.961,0.449,34,3.1,95.96,3.23051271363068,117.158988049104
"208","86028200",2017,"Louisa",1,1,1.2,1.3,NA,NA,NA,NA,129.566,0.6673,44,13.85,129.57,10.6892027475496,84.2095334550632
"209","86028200",2018,"Louisa",1,2,0.9,3.1,NA,NA,NA,NA,129.566,0.6673,44,15.69,129.57,12.1092845566103,116.292353287994
