permit_number,treatment_year,treatment_id,target_species,chemical,chem_unit,start_date,end_date,treatment_size,avg_depth,avg_vol_rate,avg_areal_rate,amount_total,water_temp_low,water_temp_high,wind_speed_low,wind_speed_high,air_temp_low,air_temp_high,avg_speed,wind_dir,active_ing
2017-1043,2022,P_159,,Sonar A.S.,gal,2022-06-09,2022-06-09,100,NA,NA,0.03,3,70,70,3,3,75,75,3,NW,Fluridone
2017-1043,2022,P_160,CLP,Sonar A.S.,gal,2022-05-11,2022-05-11,160,4.8,0.01,0.03,4.39,58,58,3,3,74,74,3,E,Fluridone
2017-1043,2022,P_161,EWM,Sonar,gal,2022-07-13,2022-07-13,160,7.5,0,0.01,2,80,80,3,3,80,80,3,N,NA
2017-1044,2020,P_162,CLP,Tribune,gal,2020-05-15,2020-05-15,47.7,7,0.29,2,95.4,58.4,58.4,9,9,57,57,9,NNW,Diquat Dibromide
2017-1044,2021,P_163,CLP,Tribune,gal,2021-05-26,2021-05-26,50.1,7,0.29,2,100,68,68,11,11,55,55,11,NNW,Diquat Dibromide
2017-1044,2025,P_164,CLP,Tribune,gal,2025-05-07,2025-05-07,53.62,6,0.33,2,107.24,62,52,0,0,61,61,NA,NA,Diquat Dibromide
2017-1047,2020,P_165,EWM,Tribune,gal,2020-06-11,2020-06-11,17,7.5,0.27,2,34,70,70,11,11,70,70,11,W,Diquat Dibromide
2017-1047,2022,P_166,EWM,ProcellaCOR,oz,2022-07-26,2022-07-26,52.9,4,12.76,51.04,2700,76,76,5,7,67,67,6,W,Florpyrauxifen-benzyl
2017-1050,2020,P_167,CLP,Sonar A.S.,gal,2020-05-14,2020-05-14,1034,8,0,0.01,13,51.5,51.5,4,4,53,53,4,W,Fluridone
2017-1050,2021,P_168,CLP,Sonar A.S.,gal,2021-04-14,2021-04-14,1034,8,0,0.03,27.53,40,40,10,15,36,36,12.5,NW,Fluridone
2017-1072,2020,P_169,CLP,Aquathol K,gal,2020-05-20,2020-05-20,43.2,9,0.75,6.73,290.6,60,60,5,10,61,61,7.5,SE,Endothall
2017-1072,2021,P_170,CLP,Aquathol K,gal,2021-05-21,2021-05-21,42.3,6.4,0.75,4.8,203.01,66,66,5,5,66,66,5,S,Endothall
2017-1083,2021,P_171,CLP,Tribune,gal,2021-05-05,2021-05-05,9.2,7,0.29,2,18.4,56,56,0,5,48,48,2.5,S,Diquat Dibromide
2017-1092,2021,P_172,EWM,ProcellaCOR EC,oz,2021-07-12,2021-07-12,22.83,6,3.17,19.02,434.22,78,78,4,4,66,66,4,ESE,Florpyrauxifen-benzyl
2017-1092,2021,P_173,EWM,Tribune,gal,2021-07-12,2021-07-12,22.83,6,0.33,2,45.66,78,78,4,4,66,66,4,ESE,Diquat Dibromide
2017-1092,2022,P_174,EWM,ProcellaCOR EC,oz,2022-07-22,2022-07-22,40.3,5.3,10.61,55.91,2253,78,79,4,4,79,79,3.7,NNE,Florpyrauxifen-benzyl
2017-1097,2020,P_175,CLP,Dibrox,gal,2020-05-19,2020-05-19,36.6,6.2,0.32,1.99,73,55,56,3,10,54,55,5.4,E,Diquat Dibromide
2017-1097,2021,P_176,CLP,Dibrox,gal,2021-05-18,2021-05-18,41.1,4.8,0.42,2,82.2,65,67,1,10,66,73,6.6,ESE,Diquat Dibromide
2017-1154,2020,P_177,CLP,Diquat Herbicide,gal,2020-05-04,2020-05-04,72.6,4,0.5,2,145.2,NA,NA,5,9,56,60,6.5,ESE,Diquat Dibromide
2017-1154,2022,P_178,CLP,Tribune,gal,2023-05-16,2023-05-16,68.92999999999999,5.6,0.36,2,137.88,NA,NA,2,6,63,70,3.9,WNW,Diquat Dibromide
2017-1210,2020,P_179,EWM,ProcellaCOR EC,oz,2020-07-16,2020-07-16,3.76,9.5,10.65,101.17,380.4,74,74,5,5,68,68,5,S,Florpyrauxifen-benzyl
2017-1210,2022,P_180,EWM,ProcellaCOR,oz,2022-08-04,2022-08-04,5.18,9,9.51,85.59,443.35,76,76,4,4,70,70,4,SW,Florpyrauxifen-benzyl
2017-1210,2022,P_181,EWM,Tribune,gal,2022-08-04,2022-08-04,5.18,9,0.22,2,10.36,76,76,4,4,70,70,4,SW,Diquat Dibromide
2017-1297,2021,P_182,CLP,Aquathol K,gal,2021-05-05,2021-05-05,10,8,0.64,5.11,51.06,57,57,5,6.4,65,65,5.7,NW,Endothall
2017-1297,2022,P_183,CLP,Aquathol K,gal,2022-05-10,2022-05-10,9.27,7.3,0.95,6.97,64.6,59,59,5,5,78,78,5,NW,Endothall
2017-1306,2020,P_184,CLP,Aquathol K,gal,2020-05-11,2020-05-11,24.5,5.9,0.45,4.59,112.34,NA,NA,3,5,NA,NA,4.2,N,Endothall
2017-1306,2021,P_185,CLP,Aquathol K,gal,2021-05-12,2021-05-12,18.8,5.4,0.52,2.81,52.78,NA,NA,0,0,NA,NA,NA,NA,Endothall
2017-1306,2022,P_186,CLP,Aquathol K,gal,2022-05-10,2022-05-10,35,4.6,0.45,2.08,72.8,NA,NA,5,5,NA,NA,5,SE,Endothall
2017-1306,2023,P_187,CLP,Aquathol K,gal,2023-05-11,2023-05-11,50,5.5,0.33,1.83,91.7,NA,NA,0,0,NA,NA,NA,NA,Endothall
2017-1307,2020,P_188,CLP,Aquathol K,,2020-05-06,2020-05-06,24.2,5,0.45,2.25,54.45,NA,NA,5,5,NA,NA,5,N,Endothall
2017-1307,2020,P_189,CLP,Aquathol K,gal,2020-05-06,2020-05-06,5.8,5,0.45,2.25,13.05,NA,NA,5,5,NA,NA,5,N,Endothall
2017-1312,2022,P_190,FR,Tribune,gal,2022-06-28,2022-06-28,31.1,4,0.5,2,62.2,74,74,10,10,65,65,10,N,Diquat Dibromide
2017-1312,2022,P_191,FR,Tribune,gal,2022-08-01,2022-08-01,31.1,4,0.5,2,62.2,74,74,0,5,69,69,2.5,NW,Diquat Dibromide
2017-1313,2021,P_192,FR,Tribune,gal,2021-06-28,2021-06-28,24,4,0.5,2,48,75,75,0,5,75,75,2.5,NE,Diquat Dibromide
2017-1367,2023,P_193,EWM,Platoon,gal,2023-08-25,2023-08-25,3.06,8.4,2.84,24,73.43,78,78,1,3,70,74,1.6,NNE,"2,4-D"
2017-1379,2022,P_194,EWM,"2,4-D Amine",gal,2022-08-22,2022-08-22,44.4,3.9,1.27,4.91,218,NA,NA,0,0,NA,NA,NA,NA,NA
2017-1486,2020,P_195,EWM,"2,4-D Amine",gal,2020-08-21,2020-08-21,18.14,7.2,2.84,20.39,369.82,77,78,1,5,75,84,2.2,S,NA
2017-1486,2021,P_196,EWM,"2,4-D Amine",gal,2021-07-16,2021-07-16,16.74,7.2,2.88,20.85,348.96,76,76,1,5,62,77,2.1,SSE,NA
2017-1486,2022,P_197,EWM,"2,4-D Amine",gal,2022-09-13,2022-09-13,5.27,3,3.51,10.53,55.47,71,72,0,3,74,74,1.5,S,NA
2017-1500,2022,P_198,EWM,"2,4-D Amine",gal,2022-06-22,2022-06-22,37.099999999999994,4.3,2.13,9.09,337.39,NA,NA,3,3,NA,NA,3,SW,NA
2017-1500,2023,P_199,EWM,"2,4-D Amine",gal,2023-06-27,2023-06-27,10.6,4.4,1.42,6.25,66.3,NA,NA,0,0,NA,NA,NA,NA,NA
2017-1507,2020,P_200,CLP,Tribune,gal,2020-05-12,2020-05-12,10.1,5,0.4,2,20.2,59,59,0,5,56,56,2.5,W,Diquat Dibromide
2017-1507,2021,P_201,CLP,Tribune,gal,2021-05-11,2021-05-11,10.1,5,0.4,1.98,20,58,58,0,5,60,60,2.5,W,Diquat Dibromide
2017-1512,2020,P_202,EWM,ProcellaCOR EC,oz,2020-07-10,2020-07-10,11,7.2,8.87,63.85,702.4,82,82,5,10,74,74,7.5,NW,Florpyrauxifen-benzyl
2017-1512,2021,P_203,EWM,ProcellaCOR,oz,2021-06-24,2021-06-24,13.2,6.9,11.52,79.52,1049.6,73,73,0,5,75,75,2.5,NE,Florpyrauxifen-benzyl
2017-1565,2021,P_204,CLP,Tribune,gal,2021-05-17,2021-05-17,16.46,4,0.5,2,32.92,64,64,4,4,70,70,4,NE,Diquat Dibromide
2017-1707,2022,P_205,CLP,Aquathol K,gal,2022-05-19,2022-05-19,9.6,5,1.1,5.52,53,62,62,0,5,52,52,2.5,SW,Endothall
2017-1707,2022,P_206,CLP,Aquathol K,gal,2023-05-23,2023-05-23,3.7,3.5,1.85,6.49,24,65,65,0,5,60,60,2.5,S,Endothall
2017-1709,2020,P_207,CLP,Aquathol K,gal,2020-05-12,2020-05-12,5.140000000000001,4,0.8,3.19,16.4,NA,NA,3,3,47,47,3,NE,Endothall
2017-1709,2021,P_208,CLP,Aquathol K,gal,2021-05-26,2021-05-26,4.38,4,0.8,3.2,14.02,NA,NA,8,8,60,60,8,NW,Endothall
2017-1779,2023,P_209,CLP,Aquathol K,gal,2023-05-30,2023-05-30,42.6,10.2,0.69,7.02,299.1,64,64,8,8,65,65,8,S,Endothall
2017-1825,2020,P_210,CLP,Aquathol K,gal,2020-05-15,2020-05-15,58.74,4.7,0.76,3.59,210.72,NA,NA,3,5,NA,NA,4,N,Endothall
2017-1825,2021,P_211,CLP,Aquathol K,gal,2021-05-18,2021-05-18,58.74,3.7,0.45,1.67,97.91,NA,NA,3,5,NA,NA,3.5,W,Endothall
2017-1826,2025,P_212,CLP,FlumigardSC,gal,2025-05-05,2025-05-05,5.5,3.8,0.12,0.47,2.6,59,59,5,5,55,55,5,S,Flumioxazin
2017-1827,2022,P_213,CLP,Aquathol K,gal,2023-05-15,2023-05-15,19.9,5.5,1,5.48,109,NA,NA,0,2,NA,NA,1,NW,Endothall
2017-1881,2020,P_214,CLP,Tribune,gal,2020-05-15,2020-05-15,27.3,5,0.4,2,54.6,60,60,5,5,63,63,5,NNW,Diquat Dibromide
2017-1881,2022,P_215,CLP,Tribune,gal,2022-06-01,2022-06-01,25,5,0.4,2,50,65.8,65.8,3,3,65.8,65.8,3,NE,Diquat Dibromide
2017-1978,2020,P_216,EWM,ProcellaCOR EC,oz,2020-09-18,2020-09-18,6.71,9,5.83,52.44,351.87,55,55,0,3,42,42,NA,NA,Florpyrauxifen-benzyl
2017-1982,2020,P_217,CLP,Tribune,gal,2020-05-29,2020-05-29,6.52,6,0.5,3,19.56,NA,NA,6,8,NA,NA,7,NW,Diquat Dibromide
2017-1984,2024,P_218,EWM,Platoon,gal,2024-10-09,2024-10-09,4.41,6.6,2.84,18.88,83.27,59,60,1,3,45,65,2.6,SSE,"2,4-D"
2017-1985,2020,P_219,EWM ,"2,4-D Amine",gal,2020-06-22,2020-06-22,16.415,8.2,2.82,23.02,377.83,70,72,2,10,67,74,5.3,NW,NA
2017-1985,2020,P_220,EWM ,"2,4-D Amine",gal,2020-10-08,2020-10-09,23.406,9.3,2.84,26.32,616.15,55,56,1,7,39,62,2.7,SSE,NA
2017-1985,2020,P_221,EWM ,"2,4-D Amine",gal,2020-10-19,2020-10-19,4.919,8.6,2.59,22.13,108.88,49,50,1,5,28,32,2.2,SSW,NA
2017-1985,2021,P_222,EWM,"2,4-D Amine",gal,2021-10-11,2021-10-12,83.34,10.2,2.84,29.12,2426.51,63,65,2,6,49,65,3.1,NNW,NA
2017-1985,2021,P_223,EWM,Dibrox,gal,2021-10-11,2021-10-11,6.5,9.4,2.84,26.74,173.82,65,65,3,5,65,65,3.7,N,Diquat Dibromide
2017-1985,2021,P_224,EWM,Platoon,gal,2021-06-22,2021-06-22,7.288,10.4,2.84,29.45,214.65,68,70,2,7,61,70,4.6,SW,"2,4-D"
2017-1985,2022,P_225,EWM,"2,4-D Amine",gal,2022-06-27,2022-06-27,7.2219999999999995,9.4,2.66,25.06,180.97,70,72,2,4,62,74,3.4,SW,NA
2017-1985,2022,P_226,EWM,"2,4-D Amine",gal,2022-10-03,2022-10-04,41.251,8.7,2.86,25.03,1032.4,60.7,62,1,8,56,70,3.4,S,NA
2017-1985,2024,P_227,EWM,Platoon,gal,2024-10-08,8024-10-01,33.68,7.5,2.84,21.44,721.98,57,63,0,4,40,70,1,SE,"2,4-D"
2017-2060,2023,P_228,SSW,Cutrine-Plus,gal,2023-07-21,2023-07-21,1.7,3.5,2.05,7.18,12.2,73,74,3,3,72,72,3,S,NA
2017-2067,2022,P_229,EWM,ProcellaCOR EC,oz,2022-06-22,2022-06-22,12,7,11.36,79.51,954.17,78,78,0,0,80,80,0,N,Florpyrauxifen-benzyl
2017-2067,2023,P_230,EWM,ProcellaCOR EC,oz,2023-06-16,2023-06-16,12,7,5.82,40.75,489.04,71.9,71.9,0,5,54,54,NA,NA,Florpyrauxifen-benzyl
2017-2184,2020,P_231,CLP,Tribune,gal,2020-05-13,2020-05-13,5.9,5,0.4,2,11.8,57.4,57.4,7,7,54,54,7,SE,Diquat Dibromide
2017-2184,2021,P_232,CLP,Tribune,gal,2021-05-18,2021-05-18,1.9,5,0.4,2,3.8,67,67,6,6,70,70,6,SW,Diquat Dibromide
2017-2726,2021,P_233,EWM,Tribune,gal,2021-06-22,2021-06-22,29.08,3,0.5,1.52,44.17,NA,NA,0,4,NA,NA,3.5,SW,Diquat Dibromide
2017-2726,2022,P_234,EWM,Tribune,gal,2022-07-01,2022-07-01,8.76,3.7,0.5,1.85,16.2,NA,NA,0,0,NA,NA,NA,NA,Diquat Dibromide
2017-2726,2023,P_235,EWM,ProcellaCOR EC,oz,2023-10-02,2023-10-02,23.12,5,9.54,47.71,1103.16,68,68,10,10,74,74,10,S,Florpyrauxifen-benzyl
2017-2726,2023,P_236,EWM,Tribune,gal,2023-06-23,2023-06-23,2.8,4.2,0.5,2.1,5.88,NA,NA,3,3,NA,NA,3,NE,Diquat Dibromide
2017-2765,2021,P_237,EWM,"2,4-D Amine",gal,2021-06-08,2021-06-08,21.2,3,1.41,4.23,89.68,NA,NA,0,0,NA,NA,NA,NA,NA
2017-2771,2020,P_238,EWM,Kammo Plus,gal,2020-07-08,2020-07-08,1,5,0.1,0.5,0.5,86,86,3,3,80,80,3,SE,Limonene
2017-2771,2020,P_239,EWM,Tribune,gal,2020-07-08,2020-07-08,1,5,0.4,2,2,86,86,3,3,80,80,3,SE,Diquat Dibromide
2017-2870,2021,P_240,EWM,Triclopyr 3,gal,2021-07-15,2021-07-15,26.669999999999998,8,1.4,11.23,299.4,NA,NA,3,4,71,78,3.3,ENE,Triclopyr
2017-2870,2021,P_241,EWM,Weedar 64,gal,2021-07-15,2021-07-15,23.85,8,2.84,22.69,541.1,NA,NA,3,6,72,80,4.5,ENE,"2,4-D"
2017-2870,2022,P_242,EWM,Triclopyr 3,gal,2022-07-13,2022-07-13,32.7,8,1.36,10.9,356.27,NA,NA,4,6,70,76,3.6,NE,Triclopyr
2017-3015,2020,P_243,EWM,ProcellaCOR EC,oz,2020-09-09,2020-09-09,0.76,6.5,16.19,105.26,80,63.8,63.8,0,5,47,47,2.5,NW,Florpyrauxifen-benzyl
2017-3315,2020,P_244,EWM,ProcellaCOR,gal,2020-07-02,2020-07-02,16.6,7,3.08,21.54,357.57,82,82,3,3,90,90,3,E,Florpyrauxifen-benzyl
2017-3315,2020,P_245,EWM,Tribune,gal,2020-07-02,2020-07-02,16.6,7,NA,NA,0,82,82,3,3,90,90,3,E,Diquat Dibromide
2017-3315,2021,P_246,EWM,ProcellaCOR,oz,2021-06-30,2021-06-30,29.85,7,2.71,18.99,567,79,79,0,0,75,75,NA,NA,Florpyrauxifen-benzyl
2017-3315,2021,P_247,EWM,Tribune,gal,2021-06-30,2021-06-30,29.85,7,0.29,2,59.7,79,79,0,5,75,75,NA,NA,Diquat Dibromide
2017-3315,2022,P_248,EWM,ProcellaCOR,oz,2022-06-28,2022-06-28,42.6,7,1.69,11.83,504,75,75,7,7,79,79,7,W,Florpyrauxifen-benzyl
2017-3315,2022,P_249,EWM,Tribune,gal,2022-06-28,2022-06-28,42.6,7,0.23,1.58,67.4,75,75,7,7,79,79,7,SW,Diquat Dibromide
2017-3409,2020,P_250,FR,Tribune,gal,2020-08-06,2020-08-06,5.91,4,0.5,2,11.82,73,73,8,8,70,70,8,SW,Diquat Dibromide
2017-3409,2020,P_251,FR,Tribune,gal,2020-09-02,2020-09-02,5.14,4,0.49,1.96,10.08,73,73,5,7,75,75,6,NW,Diquat Dibromide
2017-365,2022,P_252,CLP,Tribune,gal,2022-05-22,2022-05-22,43.62,4.2,0.25,1.03,44.75,NA,NA,7,8,NA,NA,7.5,NW,Diquat Dibromide
2017-459,2020,P_253,EWM,"2,4-D Amine",gal,2020-07-01,2020-07-01,6,3.7,2.27,8.4,50.41,NA,NA,3,4,NA,NA,3.7,NW,NA
2017-459,2020,P_254,EWM,"2,4-D Amine",gal,2020-07-31,2020-07-31,4,5.1,2.65,13.5,54,NA,NA,0,0,NA,NA,NA,NA,NA
2018-0004,2021,P_255,EWM,ProcellaCOR,oz,2021-08-05,2021-08-05,4.6,6.2,3.37,20.87,96,76,76,0,5,65,65,2.5,SW,Florpyrauxifen-benzyl
2018-0004,2021,P_256,EWM,Tribune,gal,2021-08-05,2021-08-05,4.6,6.2,0.32,2,9.2,76,76,0,5,65,65,2.5,SW,Diquat Dibromide
2018-0035,2021,P_257,EWM,ProcellaCOR,oz,2021-08-04,2021-08-04,0.27,2.5,23.7,59.26,16,76,76,0,5,71,71,2.5,N,Florpyrauxifen-benzyl
2018-0093,2021,P_258,CLP,Tribune,gal,2021-05-11,2021-05-11,28.4,4,0.5,2,56.8,52,52,0,5,45,45,2.5,W,Diquat Dibromide
2018-0093,2022,P_259,CLP,Tribune,gal,2022-05-25,2022-05-25,7.8,6,0.33,2,15.6,61,61,5,10,55,55,7.5,ENE,Diquat Dibromide
2018-0117,2022,P_260,CLP,Aquathol K,gal,2022-05-10,2022-05-10,12.799999999999999,4.4,0.74,3.25,41.6,NA,NA,2,2,NA,NA,2,NW,Endothall
2018-0118,2020,P_261,CLP,Aquathol K,gal,2020-05-05,2020-05-05,35.2,6.7,0.59,4,140.8,NA,NA,2,4,53,56,3,N,Endothall
2018-0118,2025,P_262,CLP,Diquat Herbicide,gal,2025-05-14,2025-05-14,39.58,4,0.5,2,79.16,NA,NA,0,4,80,82,2.8,SE,Diquat Dibromide
2018-0126,2020,P_263,CLP,Aquathol K,gal,2020-05-22,2020-05-22,18.580000000000002,5,0.8,4,74.32,NA,NA,5,5,62,62,5,SE,Endothall
2018-0127,2020,P_264,EWM,"2,4-D Amine",gal,2020-07-09,2020-07-09,9.42,5,1.41,7.06,66.5,NA,NA,4,4,72,72,4,E,NA
2018-0129,2020,P_265,CLP,Aquathol K,gal,2020-05-22,2020-05-22,14.16,5,0.8,4,56.64,NA,NA,4,4,59,59,4,SE,Endothall
2018-0175,2020,P_266,EWM,ProcellaCOR EC,oz,2020-07-31,2020-07-31,3.6,7.9,12.83,101.33,364.8,76,76,0,5,70,70,NA,NA,Florpyrauxifen-benzyl
2018-0175,2020,P_267,EWM,ProcellaCOR EC,oz,2020-09-24,2020-09-24,3,6.2,11.53,71.47,214.4,64,64,0,0,55,55,0,N,Florpyrauxifen-benzyl
2018-0175,2022,P_268,EWM,ProcellaCOR EC,oz,2022-10-04,2022-10-04,11.9,8.3,10.63,88.2,1049.6,64,64,0,5,65,65,2.5,SE,Florpyrauxifen-benzyl
2018-0180,2020,P_269,EWM,Dibrox,gal,2020-09-10,2020-09-10,2.24,4.1,0.49,2,4.48,60,66,0,0,40,48,NA,NA,Diquat Dibromide
2018-0180,2021,P_270,EWM,Dibrox,gal,2021-08-23,2021-08-23,5.27,5,0.39,1.95,10.29,71,74,0,6,68,72,4.5,SE,Diquat Dibromide
2018-0182,2024,P_271,SSW,Mizzen,gal,2024-07-08,2024-07-10,138.10999999999999,6.4,3.4,21.81,3012.41,74,78,0,2,66,85,0.7,NNW,NA
2018-0182,2024,P_272,SSW,Mizzen,gal,2024-08-19,2024-08-19,77.28999999999999,6.8,3.39,23.24,1796.33,74,76,0,5,68,75,2.5,S,NA
2018-0187,2020,P_273,CLP,Aquathol K,gal,2020-05-26,2020-05-26,8,6.3,0.9,5.68,45.4,63,63,0,5,64,64,2.5,S,Endothall
2018-0241,2020,P_274,CLP,Aquathol K,gal,2020-05-26,2020-05-26,7.4,6.8,1.17,7.97,59,63,63,4,10,65,65,7,S,Endothall
2018-0244,2022,P_275,CLP,ProcellaCOR EC,oz,2022-08-04,2022-08-04,4.5,6,7.23,43.38,195.2,75,75,0,5,70,70,NA,NA,Florpyrauxifen-benzyl
2018-0247,2022,P_276,EWM,ProcellaCOR EC,oz,2022-08-04,2022-08-04,4.5,4.5,9.64,43.38,195.2,75,75,0,5,65,65,NA,NA,Florpyrauxifen-benzyl
2018-0293,2020,P_277,CLP,Aquathol K,gal,2020-05-05,2020-05-05,36.35,5,0.6,3,109.05,54,56,1,5,46,51,3.2,ESE,Endothall
2018-0293,2021,P_278,CLP,Aquathol K,gal,2021-05-07,2021-05-07,27.599999999999998,5.1,0.61,3.12,86.13,56.3,58,3,8,46,52,5.8,NNW,Endothall
2018-0293,2022,P_279,CLP,Aquathol K,gal,2022-05-24,2022-05-24,13.3,5,0.6,2.99,39.8,63,63,2,3,60,60,2.5,S,Endothall
2018-0293,2022,P_280,CLP,Aquathol K,gal,2023-05-26,2023-05-26,12.28,4.9,0.8,3.9,47.91,67,68,4,4,65,70,4,S,Endothall
2018-0293,2022,P_281,EWM,Tribune,gal,2022-05-24,2022-05-24,6.6,5,0.4,2.01,13.29,63,63,2,3,60,60,2.5,S,Diquat Dibromide
2018-0293,2024,P_282,CLP,Flumioxazin 51WDG Prime,,2024-05-09,2024-05-09,18.96,4.6,NA,NA,0,57.32,58.43,6,8,63,67,6.8,NNE,Flumioxazin
2018-0293,2025,P_283,CLP,Flumioxazin 51WDG Prime,,2025-05-12,2025-05-12,38.15,4.7,NA,NA,0,57.12,59.2,4,6,65,68,5,NE,Flumioxazin
2018-0294,2020,P_284,CLP,Diquat SPC 2 L,,2020-05-28,2020-05-28,9.15,2.3,NA,NA,0,62,62,16,16,75,75,16,NW,Diquat Dibromide
2018-0332,2021,P_285,EWM,ProcellaCOR EC,oz,2021-08-26,2021-08-26,2.07,7.5,3.3,24.73,51.2,74,74,0,5,58,58,2.5,E,Florpyrauxifen-benzyl
2018-0332,2021,P_286,EWM,Tribune,gal,2021-08-26,2021-08-26,2.07,7.5,0.26,1.98,4.1,74,74,0,5,58,58,2.5,E,Diquat Dibromide
2018-0332,2025,P_287,EWM,ProcellaCOR EC,oz,2025-07-24,2025-07-24,2,9,18.67,168.01,336.02,62,62,3,3,62,62,3,N,Florpyrauxifen-benzyl
2018-0333,2021,P_288,EWM,ProcellaCOR,oz,2021-07-27,2021-07-27,11.2,6,7.81,46.88,525,81,81,0,5,82,82,2.5,NE,Florpyrauxifen-benzyl
2018-0333,2023,P_289,EWM,ProcellaCOR,oz,2023-09-26,2023-09-26,7.8,3.5,11.6,40.62,316.8,67,67,0,5,62,62,2.5,NE,Florpyrauxifen-benzyl
2018-0334,2021,P_290,CLP,Aquathol K,gal,2021-05-24,2021-05-24,18.7,7,0.89,6.2,116,66,66,5,10,75,75,7.5,SW,Endothall
2018-0334,2022,P_291,CLP,Aquathol K,gal,2022-06-03,2022-06-03,13.8,14.8,0.71,10.43,144,58,58,5,10,55,55,7.5,NW,Endothall
2018-0334,2024,P_292,CLP,Semera,lbs,2024-05-23,2024-05-23,12.7,10.7,0.37,3.94,50,61,61,0,5,60,60,2.5,SE,Flumioxazin
2018-0371,2025,P_293,CLP,FlumigardSC,oz,2025-05-08,2025-05-08,16.45,10.4,15.61,161.97,2664.38,57,58,3,6,55,67,4.4,ESE,Flumioxazin
2018-0395,2020,P_294,CLP,Aquathol K,gal,2020-05-04,2020-05-04,7.9,4.8,0.73,3.54,27.93,NA,NA,5,6,NA,NA,5.5,SE,Endothall
2018-0395,2021,P_295,CLP,Aquathol K,gal,2021-05-01,2021-05-01,7.9,4.8,0.73,3.54,27.93,NA,NA,5,6,NA,NA,5.5,SW,Endothall
2018-0395,2022,P_296,CLP,Aquathol K,gal,2022-05-23,2022-05-23,7.9,4.8,0.73,3.54,27.93,NA,NA,0,0,NA,NA,NA,NA,Endothall
2018-0408,2020,P_297,CLP,Aquathol K,gal,2020-05-22,2020-05-22,1.9,5.5,1.8,9.89,18.8,60,60,0,5,60,60,2.5,SSE,Endothall
2018-0408,2021,P_298,CLP,Aquathol K,gal,2021-05-17,2021-05-17,5,5.6,1.54,8.6,43,63,63,5,10,80,80,7.5,S,Endothall
2018-0408,2022,P_299,CLP,Aquathol K,gal,2022-06-01,2022-06-01,13.7,9.1,1.09,9.93,136,60,60,5,10,66,66,7.5,W,Endothall
2018-0543,2020,P_300,CLP,Aquathol K,gal,2020-05-21,2020-05-21,9.24,8,1.2,9.6,88.71,57,58,0,11,50,58,6,SSE,Endothall
2018-0543,2022,P_301,CLP,Aquathol K,gal,2022-06-06,2022-06-06,40.5,8,0.52,4.2,170.08,65,65,4,9,67,67,6.5,NE,Endothall
2018-0543,2024,P_302,CLP,Aquathol K,gal,2024-05-08,2024-05-08,39,8,0.62,4.98,194.31,54,55,1,4,54,59,2,ESE,Endothall
2018-0544,2020,P_303,CLP,Tribune,gal,2020-05-12,2020-05-12,15,9.5,0.21,2,30,57,57,0,5,56,56,2.5,E,Diquat Dibromide
2018-0611,2022,P_304,CLP,Aquathol K,gal,2023-05-30,2023-05-30,65,8,0.48,3.85,250,63,63,0,5,70,70,2.5,SW,Endothall
2018-0668,2020,P_305,CLP,Aquathol K,gal,2020-05-22,2020-05-22,32.3,6.5,0.57,3.68,118.97,NA,NA,5,6,62,63,5.4,SE,Endothall
2018-0668,2021,P_306,CLP,Aquathol K,gal,2021-05-07,2021-05-07,32.410000000000004,7,0.6,4.2,136.03,NA,NA,5,7,50,58,4,N,Endothall
2018-0668,2023,P_307,CLP,Aquathol K,gal,2023-05-20,2023-05-20,29.9,8.9,0.61,5.45,162.92,NA,NA,5,7,NA,NA,5.8,SW,Endothall
2018-0668,2024,P_308,CLP,Aquathol K,gal,2024-04-24,2024-04-24,33,8.7,0.71,6.21,204.85,NA,NA,5,5,NA,NA,5,SW,Endothall
2018-0670,2020,P_309,CLP,Aquathol K,gal,2020-05-15,2020-05-15,32,5,0.6,3,96,NA,NA,6,7,54,58,6.4,N,Endothall
2018-0670,2021,P_310,CLP,Aquathol K,gal,2021-05-05,2021-05-05,32.25,5,0.6,3,96.61,NA,NA,5,6,56,56,5.4,NW,Endothall
2018-0670,2023,P_311,CLP,Aquathol K,gal,2023-05-23,2023-05-23,25.3,4,1.16,4.62,117,64,64,0,5,75,75,2.5,SSW,Endothall
2018-0670,2025,P_312,CLP,FlumigardSC,gal,2025-04-30,2025-04-30,27.8,4.3,0.09,0.39,10.9,56,56,6,6,50,50,6,S,Flumioxazin
2018-0672,2020,P_313,CLP,Aquathol K,gal,2020-05-15,2020-05-15,8,5,0.6,3,24,NA,NA,5,5,52,52,5,N,Endothall
2018-0672,2021,P_314,CLP,Aquathol K,gal,2021-05-05,2021-05-05,10.5,5,0.6,2.99,31.44,NA,NA,4,5,52,52,4.5,NW,Endothall
2018-0672,2022,P_315,CLP,Aquathol K,gal,2022-05-26,2022-05-26,3.7,4.7,1.78,8.38,31,60.4,60.4,0,5,53,53,2.5,NE,Endothall
2018-0728,2022,P_316,CLP,Aquathol K,gal,2022-06-03,2022-06-03,30.87,5,1.16,5.78,178.5,NA,NA,5,7,68,68,6,NW,Endothall
2018-0728,2022,P_317,CLP,Flumigard SC,gal,2023-05-24,2023-05-25,30.87,5,0.2,1,30.87,NA,NA,6,8,64,67,7.1,SE,NA
2018-0750,2022,P_318,CLP,Tribune,gal,2022-05-23,2022-05-23,7.6,5,0.4,2,15.2,61,61,0,5,60,60,2.5,SW,Diquat Dibromide
